timestamp,pod,endpoint,status,ip,protocol,port,duration,key
2025-09-10 10:09:30.022,lei-1-1,/ttt/client/start,200,10.0.1.226,UDP,8502,0.007,UDP 10.0.1.226:8502 /ttt/client/start
2025-09-10 10:09:30.318,lei-0-0,/ttt/client/start,200,10.0.0.173,UDP,8502,0.017,UDP 10.0.0.173:8502 /ttt/client/start
2025-09-10 10:09:30.350,lei-0-1,/ttt/client/start,200,10.0.0.173,UDP,9502,0.015,UDP 10.0.0.173:9502 /ttt/client/start
2025-09-10 10:09:30.641,lei-0-1,/ttt/client/start,200,10.0.0.173,UDP,8502,0.016,UDP 10.0.0.173:8502 /ttt/client/start
2025-09-10 10:09:30.812,lei-0-0,/ttt/client/start,200,10.0.0.173,UDP,9502,0.019,UDP 10.0.0.173:9502 /ttt/client/start
2025-09-10 10:09:30.867,lei-1-0,/ttt/client/start,200,10.0.1.226,UDP,8502,0.012,UDP 10.0.1.226:8502 /ttt/client/start
2025-09-10 10:09:30.913,lei-1-0,/ttt/client/start,200,10.0.1.226,UDP,9502,0.013,UDP 10.0.1.226:9502 /ttt/client/start
2025-09-10 10:09:30.977,lei-1-1,/ttt/client/start,200,10.0.1.226,UDP,9502,0.011,UDP 10.0.1.226:9502 /ttt/client/start
2025-09-10 10:09:31.307,ccp-0,/ttt/client/start,200,10.0.0.2,UDP,8502,0.024,UDP 10.0.0.2:8502 /ttt/client/start
2025-09-10 10:09:31.525,ccp-1,/ttt/client/start,200,10.0.1.2,UDP,8502,0.017,UDP 10.0.1.2:8502 /ttt/client/start
2025-09-10 10:09:31.525,ccp-1,/ttt/client/start,200,10.0.1.2,UDP,9502,0.017,UDP 10.0.1.2:9502 /ttt/client/start
2025-09-10 10:09:32.484,ccp-0,/ttt/client/start,200,10.0.0.2,UDP,9502,0.025,UDP 10.0.0.2:9502 /ttt/client/start
2025-09-10 10:09:33.182,lei-1-0,/ttt/client/start,200,10.0.1.226,TCP-HTTP,8501,0.015,TCP-HTTP 10.0.1.226:8501 /ttt/client/start
2025-09-10 10:09:33.888,lei-1-1,/ttt/client/start,200,10.0.1.226,TCP-HTTP,8501,0.013,TCP-HTTP 10.0.1.226:8501 /ttt/client/start
2025-09-10 10:09:34.040,lei-0-0,/ttt/client/start,200,10.0.0.173,TCP-HTTP,8501,0.023,TCP-HTTP 10.0.0.173:8501 /ttt/client/start
2025-09-10 10:09:34.119,lei-1-0,/ttt/client/start,200,10.0.1.226,TCP-HTTPS,8500,0.016,TCP-HTTPS 10.0.1.226:8500 /ttt/client/start
2025-09-10 10:09:34.287,lei-1-1,/ttt/client/start,200,10.0.1.226,TCP-HTTPS,8500,0.015,TCP-HTTPS 10.0.1.226:8500 /ttt/client/start
2025-09-10 10:09:34.670,lei-0-1,/ttt/client/start,200,10.0.0.173,TCP-HTTP,8501,0.022,TCP-HTTP 10.0.0.173:8501 /ttt/client/start
2025-09-10 10:09:34.984,lei-0-0,/ttt/client/start,200,10.0.0.173,TCP-HTTPS,8500,0.025,TCP-HTTPS 10.0.0.173:8500 /ttt/client/start
2025-09-10 10:09:35.557,ccp-1,/ttt/client/start,200,10.0.1.2,TCP-HTTP,8501,0.022,TCP-HTTP 10.0.1.2:8501 /ttt/client/start
